,Unnamed: 0,專案概述  BACK to 目錄,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,基本資訊,,,
2,,專案名稱,(待定),,
3,,遊戲主題,七龍珠,,
4,,遊戲概述(設計重點),採用經典動漫七龍珠 IP 進行主題設計。,,
5,,畫面解析度,"■ 直式遊戲。
■ 基本尺寸 9:16 (720 x 1280)，無自適應。
■ 解析或高於 9:16，則向外補圖。",,
6,,支援語系,英文(en)、西班牙文(es)、葡萄牙文(pt),,
7,,遊戲畫面,Main Game,Free Game,
8,,,,,
9,,,,,
10,,遊戲玩法,,,
11,,遊戲系統,系統 C,,
12,,遊戲名稱,比基尼狂歡,, 
13,,試玩連結,🎮 遊戲試玩 🎮,,
14,,遊戲畫面,,,
15,,,,,
16,,設計參考競品,,,
17,,開發商,-,-,
18,,遊戲名稱,七龍珠,賽亞烈戰,
19,,試玩連結,🎮 遊戲試玩 🎮,🎮 遊戲試玩 🎮,
20,,參考影片,教你如何判斷時機招換神龍!!! #七龍珠 #老虎機 #雷神 #rsg #GR電子 #蠟筆小新#春日部防衛隊- YouTube,iBET 游戏策略│DT TOP1 Slot『赛亚烈战』│iBET总代理 - YouTube,
21,,遊戲畫面,,,
